"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599934849,18197.51125791323617977
"AFG",205791.24716619909719846,64385715.38638367695857613
"AGO",55292492.03695771714192794,124742297.51717784580615442
"AIA",2125.76740300813365537,8332.24776609411431551
"ALA",107727.26260979271638188,150643.27693975240670124
"ALB",648680.052297018387741830,2873537.20724878190250597
"AND",19004.037659664171779865,45196.410731844279993305
"ARE",0.0,7120447.90264910814459695
"ARG",39086979.320572390166532841,278010122.069233461467607616
"ARM",336842.15093735053419956,2969008.679990218180189489
"ATF",71.636103116416558,4361.769312734769533
"ATG",19323.34434460064519774,43575.65842128846923706
"AUS",42280598.692826672833998486,768791340.120067663821581536
"AUT",4336043.42772913846105545,8385801.90550019679545652
"AZE",1268610.215076271713062779,8623532.539268607466631854
"BDI",537674.34837589695861363,2693531.44182182008773581
"BEL",865425.884589633759064315,3070744.164067859812249476
"BEN",168568.17385019456491083,11542318.34442302770320134
"BES",2432.08701945959237483,32365.98588800562158960
"BFA",132.10845248515462093,27341710.74522515978940177
"BGD",1938957.84070264252147146,13938437.34061682012607119
"BGR",4138947.995682677533820609,11158730.954921594064664574
"BHR",0.0,71517.71355012742500441
"BHS",303575.42138554477477406,1338763.00509959465746964
"BIH",2657977.375734893107919700,5106883.29435690243091815
"BLM",621.9506204239996065,2468.52481734927416195
"BLR",9118585.55132818832252861,20706912.08808545982899758
"BLZ",1748275.85481303653981662,2198946.13206762234509758
"BMU",604.79413164675989752,6808.11859427956730014
"BOL",64521463.01088555547918086,108339284.56963705923303651
"BRA",519187508.44570775287453355,850035649.73939372244971044
"BRB",5229.73614466928271031,43466.14610412592782989
"BRN",529338.97440789315677050,577778.77387918104250832
"BTN",2577234.59845933086432556,3876296.12215415177680302
"BWA",20328.41012015845374370,57788401.20904698261878304
"CAF",47073501.13444480709519937,62019959.33841692014410462
"CAN",418066982.534635734483866332,983422993.937904679631165642
"CHE",1544417.660332636788296234,4124549.641870491239312687
"CHL",19287066.431302519917562250,75735291.610012338608705906
"CHN",162748596.437145931904709286,938223515.692180563173118096
"CIV",14872640.43008406941633097,32165794.10811168072336997
"CMR",31459332.15238494992830557,46604005.88968880724305316
"COD",199281686.52502536686071879,232912780.76088598012772870
"COG",26388373.13191882862848254,34173222.79362298296947228
"COL",81801036.05465160948598097,113675874.94466179545216482
"COM",134784.16599877484205246,167304.82830115608626170
"CPV",7355.95390616582590522,409097.906602070037057
"CRI",3913048.86417329259214153,5117666.97282901968856042
"CUB",4014607.41507633370193198,11073121.95109048627101968
"CUW",5260.66776782057852806,43776.98739261684819052
"CYM",13458.39070137774542433,28039.82870751686941243
"CYP",89657.93337912441758859,571955.85590313843303919
"CZE",3080384.40760456498898189,7883558.885974128302363341
"DEU",12526779.90128854291018056,35783855.986941356129753905
"DJI",0.07522455290690104,2186335.7649968281184120
"DMA",70924.82619292569590313,75428.07801474677389641
"DNK",663203.69784132511001009,4314471.77057476306145743
"DOM",2576426.46692115150063736,4809195.18837632798520641
"DZA",1223621.290838989033565700,230804377.307475247840119995
"ECU",19027558.83812800610935085,25611545.43210181913408582
"EGY",154304.25470167943862872,98376439.43319304474138582
"ERI",4.60761319908799928,12045733.19758749766353820
"ESH",0.0,26732059.5521597578035121
"ESP",11018923.060405307431715016,50604278.841078573581280026
"EST",2639428.80121408486684135,4548974.01267704515260593
"ETH",12040336.15060700687166863,112951806.95088766856268368
"FIN",21627651.620616583425522069,33693917.99093810004214743
"FJI",1556559.24283948664652206,1808230.97430812801122764
"FLK",2188.35746794300792459,1239764.463493973903277
"FRA",16783020.102675465713313295,54951497.53228478403930611
"FRO",0.0,143971.29834117734858264
"FSM",6171.7177453986298301,10266.9444925617826798
"GAB",24690965.17150952549884678,26454969.88269717486084823
"GBR",3695599.410974450784259146,24548497.615154860699231726
"GEO",3144573.090796246921537636,6984457.38667327388664187
"GGY",1508.204995808022108666,8844.9375590155694429
"GHA",6955668.11695470985851754,23832413.12140842407468846
"GIB",119.85350947553392764,721.21646588172669397
"GIN",8159637.06972525689837758,24481606.68352769429086546
"GLP",94757.79385746905641192,165028.80176981184105811
"GMB",4562.45664965890423804,1067050.75194433742442018
"GNB",1069848.61390141702128716,3388205.00461437058559511
"GNQ",2654595.05549445812873395,2695935.33829353186260087
"GRC",3672496.928590393978832634,13257505.410981749417897936
"GRD",28534.39672515561747800,35953.33668168481033441
"GRL",0.0,12409768.809413021059993
"GTM",7693455.58401384078537355,10915098.49020758222428201
"GUF",8162751.08527665201204607,8330096.72653049233250526
"GUY",18996032.65976040209348457,20974416.13835187274909561
"HKG",62046.32394556271195459,112913.21583203568781462
"HND",7740481.98080393795139303,11228979.89758699385957945
"HRV",2431307.547132030716271116,5707840.16868147045057495
"HTI",858466.37960027939731647,2710683.58727077813291575
"HUN",1990161.061776499137757729,9305263.74442724645589022
"IDN",160641223.32647580756991027,189024469.02198022171255052
"IMN",13217.1496224080450741,57966.5095725230737779
"IND",38830351.46155805489996604,315279651.30503394053285440
"IRL",841570.768495549942056925,7036644.645937796879611695
"IRN",1731671.419465463493531135,162173902.839995728993016364
"IRQ",17504.25585700893271740,44535864.69401225703125768
"ISL",0.0,10222425.8295589217033
"ISR",29485.15502805931094684,2215883.36642866486132754
"ITA",9318960.444528317807065836,30075442.783975138301154826
"JAM",768439.99158160370333645,1099979.93279540539897514
"JEY",1549.97069756192956095,12512.5519569385074507
"JOR",2271.4597412675241201,8911879.30131102706011589
"JPN",26387254.411338238466786783,37240326.656746937386061114
"KAZ",4240315.679628152965433056,273053036.224314666033934897
"KEN",3319482.95848812907955107,58598335.71896742239609743
"KGZ",674974.256373858740917914,19864898.7038508773681782
"KHM",8809929.84861443704579468,18135960.79359206964451839
"KIR",0.0,689.8485050325128
"KNA",13259.95374941168131931,26717.78772642997441065
"KOR",5367962.225609568519271797,10022829.791974272103138416
"KWT",0.0,1738893.7953499295210218
"LAO",19129551.50593057971356622,23000147.78672117893134268
"LBN",65235.17381314936608865,1023803.86081603565874135
